Date,A,B,C,D,E
2024-01-01,101.80006162274964,100.4210411062526,101.00374201709536,102.2866450975978,101.90548498246201
2024-01-02,100.83020168479213,101.39995448052981,100.87115342270837,102.20155873486692,102.34523457229443
2024-01-03,100.9957428911749,102.90594104914683,101.66207988106952,102.34645542703058,102.82107926700894
2024-01-04,101.35357130614892,104.47587338479649,101.47401829856257,102.68790673019153,101.96701981400875
2024-01-05,98.81853728295769,105.18201798616,102.37547176303796,101.94900185516134,104.32875009271096
2024-01-08,97.41123516148399,105.25120686795364,102.20445950013719,103.54439920875859,105.89420818821178
2024-01-09,97.58180276805284,105.6711131250545,101.3213809238598,101.53387979816308,105.54753691337994
2024-01-10,97.75403909512457,107.0006031304227,102.56751378877591,101.16160278415467,105.24999349773782
2024-01-11,96.7537401484068,105.51301305549524,100.85244932865238,103.17504581388684,104.73589428445642
2024-01-12,96.35008200842198,104.22023853125341,101.65995348986692,101.54357748824383,104.5342204441233
2024-01-15,95.51025084327293,104.64517724191822,101.16222365623531,100.37184296434975,104.52566756542734
2024-01-16,95.9394150585488,104.73575251858284,101.4889699479915,99.75712665946091,104.16802831223441
2024-01-17,95.31548598010463,104.38072205933136,100.68719777242372,98.06942756688137,104.37388637394338
2024-01-18,94.95228338567094,102.71344465805802,101.17447298955177,97.20310824247592,104.4490055987745
2024-01-19,95.66623270404332,102.86658418518573,102.35431686467207,96.02940345436492,104.89107009734224
2024-01-22,95.03234335027759,101.99511071204637,101.78390546365956,95.74983503943758,104.97099117206675
2024-01-23,93.95028802388123,102.93864620221127,102.27943398614927,94.30898521241123,106.56621823243435
2024-01-24,95.76762491392346,104.18007982314872,102.11599449428097,93.32321912915,107.71739414455466
2024-01-25,95.40136760750161,105.48253447642637,102.34936602138637,94.25796504517618,108.12357009546061
2024-01-26,96.09705261644969,105.5147115780604,104.21445286347549,94.39654316324591,108.58080412160218
2024-01-29,97.94343836532317,104.12299023337238,102.91938097993467,95.33513499566844,107.33592474773137
2024-01-30,99.88568322953788,103.71394794265467,102.17340559768576,97.20555312925869,108.95866042243894
2024-01-31,101.78899091074103,104.67884621646084,101.31750175538959,99.09990575485293,108.68877407359876
